éprouver	to try, test, put to the test, feel, experience	[sound:%C3%A9prouver.mp3]
équivaloir	to be equivalent to	[sound:%C3%A9quivaloir.mp3]
essuyer	to wipe, dust, wipe up	[sound:essuyer.mp3]
estimer	to estimate	[sound:estimer.mp3]
établir	to establish, set up, draw up	[sound:%C3%A9tablir.mp3]
éteindre	to extinguish, shut down (computer), turn off	[sound:%C3%A9teindre.mp3]
étonner	to amaze, astonish, stun, surprise	[sound:%C3%A9tonner.mp3]
étourdir	to stun, daze, make dizzy, deafen, bewilder	[sound:%C3%A9tourdir.mp3]
étreindre	to embrace, grip	[sound:%C3%A9treindre.mp3]
évaluer	to evaluate, appraise, assess, estimate	[sound:%C3%A9valuer.mp3]
éviter	to avoid	[sound:%C3%A9viter.mp3]
exagérer	to exaggerate	[sound:exag%C3%A9rer.mp3]
exclure	to expel, suspend, exclude, dismiss	[sound:exclure.mp3]
excuser	to excuse	[sound:excuser.mp3]
exiger	to demand, require	[sound:exiger.mp3]
exister	to exist	[sound:exister.mp3]
expliquer	to explain	[sound:expliquer.mp3]
explorer	to explore	[sound:explorer.mp3]
exprimer	to express	[sound:exprimer.mp3]
faiblir	to get weaker, fail, get fainter, die down, drop, diminish	[sound:faiblir.mp3]
faillir	to fail<br>to almost (do something)	[sound:faillir.mp3]
falloir	to be necessary<br><br>*MANY various uses, common with expressions	[sound:falloir.mp3]
feindre	to feign, make believe, pretend, simulate	[sound:feindre.mp3]
féliciter	to congratulate	[sound:f%C3%A9liciter.mp3]
fendre	to split, crack, cleave	[sound:fendre.mp3]
feuilleter	to leaf through	[sound:feuilleter.mp3]
fixer 	to fix, set	[sound:fixer+.mp3]
fonder	to found, establish, lay the foundation, 	[sound:fonder.mp3]
fondre	to melt, dissolve, mix colors	[sound:fondre.mp3]
fouiller	to dig deeply, excavate, search	[sound:fouiller.mp3]
fournir	to furnish, supply	[sound:fournir.mp3]
frapper	to knock, hit, strike, rap 	[sound:frapper.mp3]
frémir	to shudder, quiver, tremble	[sound:fr%C3%A9mir.mp3]
frire 	to deep-fry	[sound:frire+.mp3]
gaspiller	to waste	[sound:gaspiller.mp3]
gâter	to spoil, damage	[sound:g%C3%A2ter.mp3]
geindre	to moan 	[sound:geindre.mp3]
geler	to freeze	[sound:geler.mp3]
gêner	to bother, hamper, constrict, embarass, hinder, impede, inconvenience	[sound:g%C3%AAner.mp3]
gérer	to manage	[sound:g%C3%A9rer.mp3]
grandir	to grow (up, taller), increase	[sound:grandir.mp3]
gratter	to grate, scrape, scratch	[sound:gratter.mp3]
grêler	to hail (ice from the sky)	[sound:gr%C3%AAler.mp3]
grimper	to climb	[sound:grimper.mp3]
gronder	to chide, reprimand, scold	[sound:gronder.mp3]
guérir	to cure, heal, remedy, recover	[sound:gu%C3%A9rir.mp3]
s'habiller	to get dressed, to dress (onself)	[sound:s%27habiller.mp3]
habiter	to live (in), dwell (in), inhabit	[sound:habiter.mp3]
hésiter	to hesitate	[sound:h%C3%A9siter.mp3]
hoqueter	to hiccup, gasp	[sound:hoqueter.mp3]
ignorer	to be unaware of, to be unaware of, to ignore	[sound:ignorer.mp3]
imposer	to impose	[sound:imposer.mp3]
indiquer	to incidate, point out, show	[sound:indiquer.mp3]
induire	to mislead	[sound:induire.mp3]
s'informer	to find out, inquire, inform oneself	[sound:s%27informer.mp3]
compter	to count, intend, expect to	[sound:compter.mp3]
concevoir	to conceive	[sound:concevoir.mp3]
conclure	to conclude	[sound:conclure.mp3]
concourir	to compete (concurrently)	[sound:concourir.mp3]
conduire	to lead, drive, conduct, manage	[sound:conduire.mp3]
conserver	to preserve, conserve	[sound:conserver.mp3]
confondre	to confuse, confound	[sound:confondre.mp3]
conjoindre	to conjoin, unite	[sound:conjoindre.mp3]
conquérir	to conquer	[sound:conqu%C3%A9rir.mp3]
conseiller	to advise, counsel, recommend	[sound:conseiller.mp3]
consentir	to consent, agree	[sound:consentir.mp3]
considérer	to consider	[sound:consid%C3%A9rer.mp3]
consommer	to consume (drink, eat), consummate	[sound:consommer.mp3]
construire	to construct, build	[sound:construire.mp3]
contenir	to contain<br />to fit	[sound:contenir.mp3]
conter	to relate, narrate, recount	[sound:conter.mp3]
contraindre	to constrain, restrain, compel	[sound:contraindre.mp3]
contredire	to contradict	[sound:contredire.mp3]
contrevenir	to contravene	[sound:contrevenir.mp3]
convaincre	to convince	[sound:convaincre.mp3]
convenir	to suit, be appropriate<br>to agree, acknowledge	[sound:convenir.mp3]
correspondre	to correspond (as in write, and to fit, relate)	[sound:correspondre.mp3]
corrompre	to corrupt	[sound:corrompre.mp3]
coudre	to sew, stitch	[sound:coudre.mp3]
couvrir	to cover	[sound:couvrir.mp3]
craindre	to fear	[sound:craindre.mp3]
créer	to create	[sound:cr%C3%A9er.mp3]
crier	to shout, cry out	[sound:crier.mp3]
cueillir	to gather, pick	[sound:cueillir.mp3]
culpabiliser	to make one feel guilty	[sound:culpabiliser.mp3]
danser	to dance	[sound:danser.mp3]
débattre	to debate, discuss	[sound:d%C3%A9battre.mp3]
décevoir	to deceive, disappoint	[sound:d%C3%A9cevoir.mp3]
déchirer	to rip	[sound:d%C3%A9chirer.mp3]
décorer	to decorate	[sound:d%C3%A9corer.mp3]
découdre	to take the stitches out of<br>to take off/out, to come off	[sound:d%C3%A9coudre.mp3]
décourager	to discourage	[sound:d%C3%A9courager.mp3]
découvrir	to discover, uncover	[sound:d%C3%A9couvrir.mp3]
se dédire	to retract	[sound:se+d%C3%A9dire.mp3]
déduire	to deduce, infer, deduct	[sound:d%C3%A9duire.mp3]
défaillir	to faint, falter	[sound:d%C3%A9faillir.mp3]
défaire	to undo, untie	[sound:d%C3%A9faire.mp3]
défendre	to defend, forbid, prohibit	[sound:d%C3%A9fendre.mp3]
défricher	to clear, open up, prepare the ground	[sound:d%C3%A9fricher.mp3]
dégager	to free, clear (out), remove<br>to give off, emit	[sound:d%C3%A9gager.mp3]
déjeuner	to have lunch or breakfast	[sound:d%C3%A9jeuner.mp3]
déménager	to move (furniture, etc.)	[sound:d%C3%A9m%C3%A9nager.mp3]
demeurer	to reside, live, remain, stay	[sound:demeurer.mp3]
démolir	to demolish	[sound:d%C3%A9molir.mp3]
dénoncer	to denounce, terminate	[sound:d%C3%A9noncer.mp3]
dépasser	to pass, go beyond, exceed	[sound:d%C3%A9passer.mp3]
dépeindre	to depict, describe, portray	[sound:d%C3%A9peindre.mp3]
dépendre	to depend (on)<br>to be dependent (on)<br>to take down (something that is hanging)	[sound:d%C3%A9pendre.mp3]
dépenser	to spend (money)	[sound:d%C3%A9penser.mp3]
déplaire	to displease	[sound:d%C3%A9plaire.mp3]
déranger	to disturb, derange	[sound:d%C3%A9ranger.mp3]
désirer	to desire<br />	[sound:d%C3%A9sirer.mp3]
désobéir	to disobey	[sound:d%C3%A9sob%C3%A9ir.mp3]
dessiner	to draw, sketch	[sound:dessiner.mp3]
déteindre	to take the color out of <br>to fade, rub off	[sound:d%C3%A9teindre.mp3]
détenir	to hold, detain<br>to be in power	[sound:d%C3%A9tenir.mp3]
détourner	to turn aside, turn away, divert	[sound:d%C3%A9tourner.mp3]
détruire	to destroy	[sound:d%C3%A9truire.mp3]
développer	to develop, spread out	[sound:d%C3%A9velopper.mp3]
dévêtir	to undress	[sound:d%C3%A9v%C3%AAtir.mp3]
deviner	to guess	[sound:deviner.mp3]
diminuer	to diminish, decrease, lesson	[sound:diminuer.mp3]
dîner	to dine (have dinner)	[sound:d%C3%AEner.mp3]
diriger	to run, manage, lead, conduct, steer, pilot, direct, supervice	[sound:diriger.mp3]
discourir	to make a speech (discourse)	[sound:discourir.mp3]
discuter	to discuss, argue	[sound:discuter.mp3]
disparaître	to disappear	[sound:dispara%C3%AEtre.mp3]
dissoudre	to dissolve, disband	[sound:dissoudre.mp3]
divorcer	to get divorced	[sound:divorcer.mp3]
doubler	to double, repeat, dub	[sound:doubler.mp3]
